# date    flux       error  
2456810.262449467     1.001519634     0.0001
2456810.282881731     1.001578396     0.0001
2456810.303313895     1.001476008     0.0001
2456810.364610782     1.001529512     0.0001
2456810.385043044     1.001687691     0.0001
2456810.405475305     1.001429249     0.0001
2456810.425907566     1.00148215     0.0001
2456810.446339926     1.001419688     0.0001
2456810.466772086     1.001433699     0.0001
2456810.487204445     1.001491137     0.0001
2456810.507636704     1.001528359     0.0001
2456810.528068862     1.001680093     0.0001
2456810.54850122     1.001620298     0.0001
2456810.568933477     1.001575493     0.0001
2456810.589365634     1.001516087     0.0001
2456810.609797991     1.00157643     0.0001
2456810.630230247     1.001455053     0.0001
2456810.650662402     1.001438131     0.0001
2456810.671094757     1.001492383     0.0001
2456810.691527012     1.001538386     0.0001
2456810.711959166     1.00144531     0.0001
2456810.732391519     1.001527351     0.0001
2456810.752823773     1.001494518     0.0001
2456810.773255925     1.001496002     0.0001
2456810.793688277     1.001360616     0.0001
2456810.814120529     1.00141738     0.0001
2456810.83455278     1.001311692     0.0001
2456810.854985031     1.001407939     0.0001
2456810.875417282     1.001295107     0.0001
2456810.895849531     1.001330065     0.0001
2456810.916281781     1.001286093     0.0001
2456810.93671403     1.001297656     0.0001
2456810.957146378     1.001423685     0.0001
2456810.977578526     1.001359623     0.0001
2456810.998010774     1.001178193     0.0001
2456811.018443121     1.001349058     0.0001
2456811.038875267     1.001441336     0.0001
2456811.059307514     1.001278923     0.0001
2456811.079739859     1.001242524     0.0001
2456811.100172004     1.001326988     0.0001
2456811.120604249     1.001292795     0.0001
2456811.141036593     1.001265257     0.0001
2456811.161468737     1.001301412     0.0001
2456811.18190098     1.001315993     0.0001
2456811.202333323     1.001352198     0.0001
2456811.222765465     1.001166268     0.0001
2456811.243197808     1.001148838     0.0001
2456811.263630049     1.001285144     0.0001
2456811.28406229     1.001221652     0.0001
2456811.304494531     1.001197649     0.0001
2456811.324926771     1.001280915     0.0001
2456811.34535901     1.001188331     0.0001
2456811.365791249     1.001123904     0.0001
2456811.386223488     1.001167156     0.0001
2456811.406655726     1.001174736     0.0001
2456811.427087964     1.001138882     0.0001
2456811.447520201     1.001128427     0.0001
2456811.467952438     1.001232022     0.0001
2456811.488384675     1.001181254     0.0001
2456811.50881691     1.001159359     0.0001
2456811.529249046     1.001224921     0.0001
2456811.590545749     1.001166587     0.0001
2456811.610978083     1.000948824     0.0001
2456811.651842648     1.00090381     0.0001
2456811.692707012     1.000952687     0.0001
2456811.713139343     1.000999812     0.0001
2456811.733571474     1.00113666     0.0001
2456811.754003704     1.000937674     0.0001
2456811.774436034     1.000890616     0.0001
2456811.794868264     1.00091979     0.0001
2456811.815300393     1.000911271     0.0001
2456811.835732721     1.000944491     0.0001
2456811.856164949     1.00100849     0.0001
2456811.876597077     1.000995821     0.0001
2456811.917461631     1.0008122     0.0001
2456811.937893756     1.000779816     0.0001
2456811.958326082     1.000793143     0.0001
2456811.978758308     1.000937393     0.0001
2456811.999190433     1.000916623     0.0001
2456812.019622757     1.000976363     0.0001
2456812.060487104     1.000983567     0.0001
2456812.080919427     1.000812302     0.0001
2456812.10135165     1.000805598     0.0001
2456812.121783971     1.000942573     0.0001
2456812.142216093     1.000841504     0.0001
2456812.162648314     1.000741052     0.0001
2456812.183080535     1.000826434     0.0001
2456812.203512755     1.000742607     0.0001
2456812.223944975     1.000039141     0.0001
2456812.244377194     0.999813556     0.0001
2456812.264809413     0.99984996     0.0001
2456812.285241631     0.999697061     0.0001
2456812.305673849     0.999696228     0.0001
2456812.326106067     0.999755005     0.0001
2456812.346538284     1.00037686     0.0001
2456812.3669706     1.000737177     0.0001
2456812.387402716     1.000792656     0.0001
2456812.407834932     1.000616295     0.0001
2456812.428267247     1.000822629     0.0001
2456812.448699362     1.000730285     0.0001
2456812.469131576     1.000732878     0.0001
2456812.48956389     1.000732909     0.0001
2456812.509996003     1.000690334     0.0001
2456812.530428216     1.000834054     0.0001
2456812.550860528     1.000722583     0.0001
2456812.57129264     1.000862828     0.0001
2456812.591724952     1.001027294     0.0001
2456812.612157163     1.000716345     0.0001
2456812.632589374     1.000783063     0.0001
2456812.653021584     1.000723058     0.0001
2456812.673453794     1.000459505     0.0001
2456812.693886003     1.000772814     0.0001
2456812.714318211     1.000531005     0.0001
2456812.73475042     1.000735188     0.0001
2456812.775614835     1.00066363     0.0001
2456812.796047042     1.000638143     0.0001
2456812.816479249     1.000657245     0.0001
2456812.836911555     1.000551257     0.0001
2456812.85734366     1.00069481     0.0001
2456812.877775866     1.000665168     0.0001
2456812.89820807     1.000443644     0.0001
2456812.918640274     1.000522572     0.0001
2456812.939072478     1.000645631     0.0001
2456812.959504681     1.000514388     0.0001
2456812.979936884     1.000674236     0.0001
2456813.000369087     1.000606889     0.0001
2456813.020801289     1.000703117     0.0001
2456813.041233491     1.000533877     0.0001
2456813.061665791     1.000515231     0.0001
2456813.082097892     1.000495476     0.0001
2456813.102530092     1.000441032     0.0001
2456813.122962392     1.00059515     0.0001
2456813.143394491     1.000485906     0.0001
2456813.16382669     1.00053409     0.0001
2456813.184258989     1.000572981     0.0001
2456813.204691186     1.000517087     0.0001
2456813.225123284     1.000574159     0.0001
2456813.245555581     1.000429296     0.0001
2456813.265987778     1.00039703     0.0001
2456813.286419874     1.000672444     0.0001
2456813.306852169     1.000495959     0.0001
2456813.327284365     1.000404121     0.0001
2456813.34771646     1.000422302     0.0001
2456813.368148754     0.99986238     0.0001
2456813.388580948     0.999256894     0.0001
2456813.409013041     0.998863492     0.0001
2456813.429445334     0.998945169     0.0001
2456813.449877527     0.999014576     0.0001
2456813.470309719     0.999986944     0.0001
2456813.49074191     1.000464113     0.0001
2456813.511174102     1.00042462     0.0001
2456813.531606393     1.000514504     0.0001
2456813.552038483     1.000521236     0.0001
2456813.572470673     1.0004647     0.0001
2456813.592902962     1.000432352     0.0001
2456813.613335051     1.000397321     0.0001
2456813.63376724     1.000617794     0.0001
2456813.654199528     1.000471045     0.0001
2456813.674631616     1.00053311     0.0001
2456813.695063803     1.000285797     0.0001
2456813.715496089     1.000390094     0.0001
2456813.756360361     1.000289279     0.0001
2456813.776792647     1.00043176     0.0001
2456813.797224732     1.000293627     0.0001
2456813.817656916     1.000355678     0.0001
2456813.8380892     1.000727285     0.0001
2456813.858521284     1.000219631     0.0001
2456813.878953467     1.000220675     0.0001
2456813.89938575     1.00026605     0.0001
2456813.919817832     1.000369012     0.0001
2456813.940250014     1.000308912     0.0001
2456813.960682295     1.0003031     0.0001
2456813.981114376     1.000252962     0.0001
2456814.042411016     1.000024024     0.0001
2456814.062843196     1.000115406     0.0001
2456814.083275374     1.000298018     0.0001
2456814.103707553     1.000353187     0.0001
2456814.124139731     1.000428569     0.0001
2456814.144571908     1.000417951     0.0001
2456814.165004085     1.000326674     0.0001
2456814.185436361     1.000301216     0.0001
2456814.205868437     1.000222803     0.0001
2456814.226300613     1.000243349     0.0001
2456814.246732889     1.000199908     0.0001
2456814.267164963     1.000294492     0.0001
2456814.287597137     1.000337392     0.0001
2456814.308029411     1.000303921     0.0001
2456814.328461485     1.0004043     0.0001
2456814.348893658     1.000127838     0.0001
2456814.36932593     1.000196179     0.0001
2456814.389758002     1.000047882     0.0001
2456814.410190174     1.000188122     0.0001
2456814.430622345     1.000142753     0.0001
2456814.451054516     1.000155115     0.0001
2456814.471486786     1.000098264     0.0001
2456814.5940798     1.000338754     0.0001
2456814.614511967     1.000256376     0.0001
2456814.634944034     1.000276856     0.0001
2456814.6553763     1.000361648     0.0001
2456814.675808466     1.00035765     0.0001
2456814.696240532     1.000293496     0.0001
2456814.716672797     1.000431368     0.0001
2456814.737104961     1.000433659     0.0001
2456814.757537025     1.000222661     0.0001
2456814.777969289     1.00029052     0.0001
2456814.798401453     1.000250373     0.0001
2456814.818833516     1.000276092     0.0001
2456814.839265778     1.000351021     0.0001
2456814.85969794     1.000321478     0.0001
2456814.880130102     1.000234006     0.0001
2456814.900562263     1.000296398     0.0001
2456814.920994423     1.000395365     0.0001
2456814.941426684     1.000363045     0.0001
2456814.961858744     1.000169811     0.0001
2456814.982290903     1.000448573     0.0001
2456815.002723162     1.000317238     0.0001
2456815.023155321     1.000311232     0.0001
2456815.043587378     1.000426173     0.0001
2456815.064019636     1.000365564     0.0001
2456815.084451794     1.000324575     0.0001
2456815.104883851     1.000218378     0.0001
2456815.125316107     1.000377654     0.0001
2456815.145748163     1.000326565     0.0001
2456815.166180318     1.000340649     0.0001
2456815.186612573     1.000324389     0.0001
2456815.207044628     1.00034938     0.0001
2456815.227476782     1.000412849     0.0001
2456815.247909036     1.000266265     0.0001
2456815.268341089     1.000291266     0.0001
2456815.288773242     1.0002963     0.0001
2456815.309205495     1.000480463     0.0001
2456815.329637546     1.000372733     0.0001
2456815.350069698     1.00033215     0.0001
2456815.37050195     1.000370349     0.0001
2456815.3909341     1.000232437     0.0001
2456815.41136625     1.000336408     0.0001
2456815.4317984     1.000258848     0.0001
2456815.45223055     1.000402084     0.0001
2456815.493094847     1.000541041     0.0001
2456815.513526995     1.000473565     0.0001
2456815.533959243     1.000369707     0.0001
2456815.554391291     1.000367572     0.0001
2456815.574823437     1.000347513     0.0001
2456815.595255684     1.00033444     0.0001
2456815.61568773     1.000321884     0.0001
2456815.636119875     1.000472278     0.0001
2456815.656552121     1.000451422     0.0001
2456815.676984165     1.000391541     0.0001
2456815.697416309     1.000216137     0.0001
2456815.717848553     1.000376521     0.0001
2456815.738280597     1.000333918     0.0001
2456815.75871274     1.000385893     0.0001
2456815.779144982     1.000322133     0.0001
2456815.799577025     1.000248691     0.0001
2456815.820009166     1.000465777     0.0001
2456815.840441407     1.000488809     0.0001
2456815.860873548     1.000469372     0.0001
2456815.881305688     1.000452359     0.0001
2456815.901737829     1.000347451     0.0001
2456815.922169868     1.000290467     0.0001
2456815.942602107     1.000447144     0.0001
2456815.983466285     1.000061637     0.0001
2456816.003898522     1.00021347     0.0001
2456816.02433066     1.000140886     0.0001
2456816.044762697     1.000199287     0.0001
2456816.065194933     1.000315967     0.0001
2456816.085627069     1.000335029     0.0001
2456816.106059105     1.0002747     0.0001
2456816.12649134     1.000349868     0.0001
2456816.146923475     1.000209627     0.0001
2456816.16735551     1.000166827     0.0001
2456816.187787744     1.000317351     0.0001
2456816.208219877     1.000249931     0.0001
2456816.22865201     1.000354803     0.0001
2456816.249084143     1.000525074     0.0001
2456816.269516275     1.000187066     0.0001
2456816.289948407     1.000261333     0.0001
2456816.310380539     1.000745943     0.0001
2456816.33081267     1.000160823     0.0001
2456816.351244901     1.000103485     0.0001
2456816.371677031     0.999994571     0.0001
2456816.39210906     1.00015528     0.0001
2456816.41254129     1.000002154     0.0001
2456816.432973419     1.000230256     0.0001
2456816.473837675     1.000263236     0.0001
2456816.494269803     1.000628768     0.0001
2456816.51470183     1.000205675     0.0001
2456816.535134057     1.000237868     0.0001
2456816.555566183     1.00053502     0.0001
2456816.57599821     1.000292266     0.0001
2456816.596430435     1.000387603     0.0001
2456816.61686256     1.000450594     0.0001
2456816.637294585     1.000436932     0.0001
2456816.657726809     1.000436409     0.0001
2456816.678158833     1.00026682     0.0001
2456816.698591056     1.000322886     0.0001
2456816.719023179     1.000100976     0.0001
2456816.739455202     1.000405131     0.0001
2456816.759887324     1.000293596     0.0001
2456816.780319546     1.000239822     0.0001
2456816.800751667     1.000439328     0.0001
2456816.821183788     1.000447004     0.0001
2456816.841615908     1.000472071     0.0001
2456816.862048029     1.000219406     0.0001
2456816.882480248     1.000522452     0.0001
2456816.902912267     1.000369176     0.0001
2456816.923344386     1.000356583     0.0001
2456816.943776605     1.0004315     0.0001
2456816.964208623     1.000563782     0.0001
2456816.98464074     1.000408527     0.0001
2456817.005072957     1.000217041     0.0001
2456817.025504974     1.000212103     0.0001
