# date   flux    error
2456810.262449 0.9998248 0.00008607
2456810.282882 0.9998952 0.00008607
2456810.303314 0.9998047 0.00008607
2456810.364611 0.9998927 0.00008607
2456810.385043 1.0000622 0.00008607
2456810.405475 0.9998155 0.00008607
2456810.425908 0.9998797 0.00008607
2456810.446340 0.9998286 0.00008607
2456810.466772 0.9998538 0.00008607
2456810.487204 0.9999222 0.00008607
2456810.507637 0.9999706 0.00008607
2456810.528069 1.0001331 0.00008607
2456810.548501 1.0000845 0.00008607
2456810.568933 1.0000507 0.00008607
2456810.589366 1.0000024 0.00008607
2456810.609798 1.0000736 0.00008607
2456810.630230 0.9999632 0.00008607
2456810.650662 0.9999569 0.00008607
2456810.671095 1.0000218 0.00008607
2456810.691527 1.0000783 0.00008607
2456810.711959 0.9999960 0.00008607
2456810.732392 1.0000884 0.00008607
2456810.752824 1.0000662 0.00008607
2456810.773256 1.0000781 0.00008607
2456810.793688 0.9999532 0.00008607
2456810.814121 1.0000201 0.00008607
2456810.834553 0.9999249 0.00008607
2456810.854985 1.0000313 0.00008607
2456810.875417 0.9999287 0.00008607
2456810.895850 0.9999737 0.00008607
2456810.916282 0.9999398 0.00008607
2456810.936714 0.9999613 0.00008607
2456810.957146 1.0000971 0.00008607
2456810.977579 1.0000430 0.00008607
2456810.998011 0.9998717 0.00008607
2456811.018443 1.0000521 0.00008607
2456811.038875 1.0001540 0.00008607
2456811.059308 1.0000015 0.00008607
2456811.079740 0.9999748 0.00008607
2456811.100172 1.0000686 0.00008607
2456811.120604 1.0000440 0.00008607
2456811.141037 1.0000259 0.00008607
2456811.161469 1.0000714 0.00008607
2456811.181901 1.0000954 0.00008607
2456811.202333 1.0001410 0.00008607
2456811.222765 0.9999644 0.00008607
2456811.243198 0.9999151 0.00008681
2456811.263630 1.0000620 0.00008681
2456811.284062 1.0000093 0.00008681
2456811.304495 0.9999960 0.00008681
2456811.324927 1.0000897 0.00008681
2456811.345359 1.0000076 0.00008681
2456811.365791 0.9999536 0.00008681
2456811.386223 1.0000070 0.00008681
2456811.406656 1.0000248 0.00008681
2456811.427088 0.9999992 0.00008681
2456811.447520 0.9999988 0.00008681
2456811.467952 1.0001123 0.00008681
2456811.488385 1.0000716 0.00008681
2456811.508817 1.0000595 0.00008681
2456811.529249 1.0001347 0.00008681
2456811.590546 1.0001053 0.00008681
2456811.610978 0.9998973 0.00008681
2456811.651843 0.9998710 0.00008681
2456811.692707 0.9999383 0.00008681
2456811.713139 0.9999945 0.00008681
2456811.733571 1.0001402 0.00008681
2456811.754004 0.9999504 0.00008681
2456811.774436 0.9999124 0.00008681
2456811.794868 0.9999503 0.00008681
2456811.815300 0.9999505 0.00008681
2456811.835733 0.9999924 0.00008681
2456811.856165 1.0000650 0.00008681
2456811.876597 1.0000609 0.00008681
2456811.917462 0.9998943 0.00008681
2456811.937894 0.9998704 0.00008681
2456811.958326 0.9998920 0.00008681
2456811.978758 1.0000442 0.00008681
2456811.999190 1.0000316 0.00008681
2456812.019623 1.0000994 0.00008681
2456812.060487 1.0001224 0.00008681
2456812.080919 0.9999593 0.00008681
2456812.101352 0.9999604 0.00008681
2456812.121784 1.0001049 0.00008681
2456812.142216 1.0000116 0.00008681
2456812.162648 0.9999188 0.00008681
2456812.183081 1.0000117 0.00008681
2456812.203513 0.9999354 0.00008681
2456812.223945 0.9992399 0.00008681
2456812.244377 0.9990031 0.00008786
2456812.264809 0.9990474 0.00008786
2456812.285242 0.9989025 0.00008786
2456812.305674 0.9989095 0.00008786
2456812.326106 0.9989758 0.00008786
2456812.346538 0.9996048 0.00008786
2456812.366971 0.9999726 0.00008786
2456812.387403 1.0000354 0.00008786
2456812.407835 0.9998667 0.00008786
2456812.428267 1.0000803 0.00008786
2456812.448699 0.9999951 0.00008786
2456812.469132 1.0000049 0.00008786
2456812.489564 1.0000122 0.00008786
2456812.509996 0.9999766 0.00008786
2456812.530428 1.0001273 0.00008786
2456812.550861 1.0000228 0.00008786
2456812.571293 1.0001697 0.00008786
2456812.591725 1.0003409 0.00008786
2456812.612157 1.0000368 0.00008786
2456812.632589 1.0001102 0.00008786
2456812.653022 1.0000568 0.00008786
2456812.673454 0.9997998 0.00008786
2456812.693886 1.0001193 0.00008786
2456812.714318 0.9998839 0.00008786
2456812.734750 1.0000944 0.00008786
