BJD - 2454833, Corrected Flux
1977.262449467, 1.001519634,
1977.282881731, 1.001578396,
1977.303313895, 1.001476008,
1977.364610782, 1.001529512,
1977.385043044, 1.001687691,
1977.405475305, 1.001429249,
1977.425907566, 1.001482150,
1977.446339926, 1.001419688,
1977.466772086, 1.001433699,
1977.487204445, 1.001491137,
1977.507636704, 1.001528359,
1977.528068862, 1.001680093,
1977.548501220, 1.001620298,
1977.568933477, 1.001575493,
1977.589365634, 1.001516087,
1977.609797991, 1.001576430,
1977.630230247, 1.001455053,
1977.650662402, 1.001438131,
1977.671094757, 1.001492383,
1977.691527012, 1.001538386,
1977.711959166, 1.001445310,
1977.732391519, 1.001527351,
1977.752823773, 1.001494518,
1977.773255925, 1.001496002,
1977.793688277, 1.001360616,
1977.814120529, 1.001417380,
1977.834552780, 1.001311692,
1977.854985031, 1.001407939,
1977.875417282, 1.001295107,
1977.895849531, 1.001330065,
1977.916281781, 1.001286093,
1977.936714030, 1.001297656,
1977.957146378, 1.001423685,
1977.977578526, 1.001359623,
1977.998010774, 1.001178193,
1978.018443121, 1.001349058,
1978.038875267, 1.001441336,
1978.059307514, 1.001278923,
1978.079739859, 1.001242524,
1978.100172004, 1.001326988,
1978.120604249, 1.001292795,
1978.141036593, 1.001265257,
1978.161468737, 1.001301412,
1978.181900980, 1.001315993,
1978.202333323, 1.001352198,
1978.222765465, 1.001166268,
1978.243197808, 1.001148838,
1978.263630049, 1.001285144,
1978.284062290, 1.001221652,
1978.304494531, 1.001197649,
1978.324926771, 1.001280915,
1978.345359010, 1.001188331,
1978.365791249, 1.001123904,
1978.386223488, 1.001167156,
1978.406655726, 1.001174736,
1978.427087964, 1.001138882,
1978.447520201, 1.001128427,
1978.467952438, 1.001232022,
1978.488384675, 1.001181254,
1978.508816910, 1.001159359,
1978.529249046, 1.001224921,
1978.590545749, 1.001166587,
1978.610978083, 1.000948824,
1978.651842648, 1.000903810,
1978.692707012, 1.000952687,
1978.713139343, 1.000999812,
1978.733571474, 1.001136660,
1978.754003704, 1.000937674,
1978.774436034, 1.000890616,
1978.794868264, 1.000919790,
1978.815300393, 1.000911271,
1978.835732721, 1.000944491,
1978.856164949, 1.001008490,
1978.876597077, 1.000995821,
1978.917461631, 1.000812200,
1978.937893756, 1.000779816,
1978.958326082, 1.000793143,
1978.978758308, 1.000937393,
1978.999190433, 1.000916623,
1979.019622757, 1.000976363,
1979.060487104, 1.000983567,
1979.080919427, 1.000812302,
1979.101351650, 1.000805598,
1979.121783971, 1.000942573,
1979.142216093, 1.000841504,
1979.162648314, 1.000741052,
1979.183080535, 1.000826434,
1979.203512755, 1.000742607,
1979.223944975, 1.000039141,
1979.244377194, 0.999813556,
1979.264809413, 0.999849960,
1979.285241631, 0.999697061,
1979.305673849, 0.999696228,
1979.326106067, 0.999755005,
1979.346538284, 1.000376860,
1979.366970600, 1.000737177,
1979.387402716, 1.000792656,
1979.407834932, 1.000616295,
1979.428267247, 1.000822629,
1979.448699362, 1.000730285,
1979.469131576, 1.000732878,
1979.489563890, 1.000732909,
1979.509996003, 1.000690334,
1979.530428216, 1.000834054,
1979.550860528, 1.000722583,
1979.571292640, 1.000862828,
1979.591724952, 1.001027294,
1979.612157163, 1.000716345,
1979.632589374, 1.000783063,
1979.653021584, 1.000723058,
1979.673453794, 1.000459505,
1979.693886003, 1.000772814,
1979.714318211, 1.000531005,
1979.734750420, 1.000735188,
1979.775614835, 1.000663630,
1979.796047042, 1.000638143,
1979.816479249, 1.000657245,
1979.836911555, 1.000551257,
1979.857343660, 1.000694810,
1979.877775866, 1.000665168,
1979.898208070, 1.000443644,
1979.918640274, 1.000522572,
1979.939072478, 1.000645631,
1979.959504681, 1.000514388,
1979.979936884, 1.000674236,
1980.000369087, 1.000606889,
1980.020801289, 1.000703117,
1980.041233491, 1.000533877,
1980.061665791, 1.000515231,
