name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
BLG-1691L b,Confirmed,0.046,0.025,0.025,,,,,,,,,,2.46,0.1,0.1,,,,,,,,2022,2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2017-BLG-1691L,263.595833341,-29.284722229,,,,,,7290.0,1330.0,1330.0,,,,0.45,0.25,0.25,,,,,,,,,,,,,KMT-2017-BLG-0752
Gaia22dkv b,Confirmed,0.5,0.05,0.05,,,,,,,,,,1.63,0.17,0.17,,,,,,,,2023,2023-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,Gaia22dkv,151.770833335,-66.180833348,,,,,,1350.0,90.0,90.0,,,,1.24,0.6,0.6,,,,,,,,,,,,,
K2-2016-BLG-0005L b,Confirmed,1.1,0.08,0.08,,,,,,,,,,4.18,0.27,0.27,,,,,,,,2022,2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,K2-2016-BLG-0005L,269.879166677,-27.607500018,,,,,,5200.0,230.0,230.0,,,,0.584,0.03,0.03,,,,,,,,,,,,,
KMT-2016-BLG-0212 b,Confirmed,,,,,,,,,,,,,,,,,,,,,,,2018,2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,KMT-2016-BLG-0212,268.43925,-29.0868888934,,,,,,6000.0,1500.0,1500.0,,,,0.5,0.4,0.4,,,,,,,,,,,,,
KMT-2016-BLG-0625 b,Confirmed,0.051,0.044,0.044,,,,,,,,,,1.4,0.17,0.17,,,,,,,,2023,2023-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2016-BLG-0625,271.41666668,-27.226944457,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2016-BLG-1105 b,Confirmed,0.0073,0.00585,0.00585,,,,,,,,,,2.44,0.75,0.75,,,,,,,,2022,2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2016-BLG-1105,266.445833349,-26.266388907,,,,,,5080.0,2150.0,2150.0,,,,0.41,0.21,0.21,,,,,,,,,,,,,
KMT-2016-BLG-1107 b,Confirmed,3.283,1.835,1.835,,,,,,,,,,0.342,0.085,0.085,,,,,,,,2018,2018-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,KMT-2016-BLG-1107,266.41666668,-26.031666679,,,,,,6651.0,1348.0,1348.0,,,,0.087,0.049,0.049,,,,,,,,,,,,,
KMT-2016-BLG-1397 b,Confirmed,7.0,4.3,4.3,,,,,,,,,,5.1,1.7,1.7,,,,,,,,2018,2018-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2016-BLG-1397,272.66666668,-24.857777801,,,,,,6600.0,1300.0,1300.0,,,,0.45,0.28,0.28,,,,,,,,,,,,,
KMT-2016-BLG-1751,Confirmed,1.2,1.19,1.19,,,,,,,,,,1.39,0.5,0.5,,,,,,,,2023,2023-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2016-BLG-1751,268.366666676,-32.151944449,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2016-BLG-1820 b,Confirmed,4.57,2.14,2.14,,,,,,,,,,1.08,0.24,0.24,,,,,,,,2018,2018-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,KMT-2016-BLG-1820,268.766666668,-29.516944455,,,,,,6260.0,1280.0,1280.0,,,,0.039,0.018,0.018,,,,,,,,,,,,,
